px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
8.65138	-7.25245	-2.90268	2.24739	0.18874	8.64403	-7.39047	8.65	-7.4	1.99807	-2.99712	8.30755
8.65138	-7.25245	-2.90268	2.24739	0.18874	8.73559	-7.5421	8.75	-7.55	1.99808	-2.99712	0
8.76582	-7.50214	-2.7987	2.20845	0.117665	8.87176	-7.71912	8.8	-7.65	0.909955	-1.8199	9.97795
8.76582	-7.50214	-2.7987	2.20845	0.117665	8.84538	-7.75497	8.85	-7.75	0.909946	-1.81988	0
8.91485	-7.7789	-2.81999	2.18442	0.0789411	8.88333	-7.88636	8.9	-7.9	0.999086	-2.9973	1.17607
8.91485	-7.7789	-2.81999	2.18442	0.0789411	8.95966	-8.0381	8.95	-8.05	0.999095	-2.9973	0
8.9894	-8.01966	-2.70282	2.12944	0.000353356	8.8564	-8.01424	9	-8.15	0.909309	-1.8186	11.0828
8.9894	-8.01966	-2.70282	2.12944	0.000353356	9.05896	-8.24314	9.05	-8.25	0.909301	-1.81859	0
9.13063	-8.30297	-2.74491	2.10563	-0.0218004	9.17781	-8.47056	9.1	-8.4	1.0004	-3.00119	1.45687
9.13063	-8.30297	-2.74491	2.10563	-0.0218004	9.15332	-8.54857	9.15	-8.55	1.00038	-3.00117	0
9.20276	-8.56059	-2.66126	2.04499	-0.0944645	9.22922	-8.6898	9.2	-8.65	0.909508	-1.819	7.09264
9.20276	-8.56059	-2.66126	2.04499	-0.0944645	9.24541	-8.76863	9.25	-8.75	0.9095	-1.81899	0
9.43471	-8.8943	-2.91579	2.09141	-0.000688467	9.37748	-9.00609	9.35	-8.95	1.99965	-3.99928	44.0714
9.43471	-8.8943	-2.91579	2.09141	-0.000688467	9.44703	-9.15328	9.45	-9.15	1.99964	-3.99928	0
9.51305	-9.15636	-2.85039	2.03922	-0.0642802	9.50096	-9.25642	9.5	-9.25	0.999584	-1.99917	5.03344
9.51305	-9.15636	-2.85039	2.03922	-0.0642802	9.54157	-9.35195	9.55	-9.35	0.999584	-1.99917	0
9.57897	-9.42065	-2.80462	1.98513	-0.121772	9.47534	-9.42627	9.55	-9.5	0	-3.00023	3.02841
9.57897	-9.42065	-2.80462	1.98513	-0.121772	9.54779	-9.64959	9.55	-9.65	0	-3.0002	0
9.68343	-9.71935	-2.85488	1.95715	-0.131832	9.69942	-9.88416	9.6	-9.8	0.999005	-2.997	1.77575
9.68343	-9.71935	-2.85488	1.95715	-0.131832	9.64606	-9.9341	9.65	-9.95	0.998995	-2.997	0
9.71518	-9.99647	-2.78351	1.8831	-0.208353	9.60087	-9.96395	9.7	-10.05	0.909855	-1.81969	6.07078
9.71518	-9.99647	-2.78351	1.8831	-0.208353	9.73801	-10.1396	9.75	-10.15	0.909847	-1.81969	0
9.79009	-10.2891	-2.77953	1.84483	-0.227934	9.92627	-10.4745	9.75	-10.3	0	-3.00065	0.459259
9.79009	-10.2891	-2.77953	1.84483	-0.227934	9.75524	-10.4732	9.75	-10.45	0	-3.00063	0
9.86124	-10.5834	-2.80864	1.82098	-0.221532	9.71825	-10.5087	9.8	-10.6	0.90817	-2.72451	0.814719
9.86124	-10.5834	-2.80864	1.82098	-0.221532	9.85048	-10.7526	9.85	-10.75	0.908161	-2.72448	0
9.8776	-10.8823	-2.75993	1.74819	-0.284681	9.88465	-10.9383	9.85	-10.9	0	-2.73074	3.51226
9.8776	-10.8823	-2.75993	1.74819	-0.284681	9.83614	-11.041	9.85	-11.05	0	-2.73073	0
9.90582	-11.1764	-2.76543	1.70451	-0.29862	9.83952	-11.1692	9.85	-11.2	0	-2.99965	0.14782
9.90582	-11.1764	-2.76543	1.70451	-0.29862	9.84568	-11.3496	9.85	-11.35	0	-2.99961	0
9.91498	-11.4728	-2.78466	1.6552	-0.316334	9.87961	-11.5637	9.85	-11.5	0	-2.99843	0.45121
9.91498	-11.4728	-2.78466	1.6552	-0.316334	9.83206	-11.6307	9.85	-11.65	0	-2.99843	0
9.79981	-11.7344	-2.6801	1.49684	-0.488241	9.85311	-11.8523	9.8	-11.75	-1.0003	-2.00061	22.9875
9.79981	-11.7344	-2.6801	1.49684	-0.488241	9.74928	-11.8442	9.75	-11.85	-1.00029	-2.00059	0
9.75677	-12.0024	-2.68059	1.43538	-0.50286	9.69694	-11.9706	9.7	-12	-1.0004	-3.00119	0.117768
9.75677	-12.0024	-2.68059	1.43538	-0.50286	9.65354	-12.1497	9.65	-12.15	-1.00039	-3.00116	0
9.64174	-12.2626	-2.64842	1.30771	-0.608117	9.72311	-12.3964	9.6	-12.25	-0.999885	-1.99981	6.70715
9.64174	-12.2626	-2.64842	1.30771	-0.608117	9.54859	-12.3478	9.55	-12.35	-0.999884	-1.99979	0
9.45355	-12.4895	-2.60571	1.12884	-0.77105	9.39039	-12.3902	9.45	-12.45	-1.99803	-1.99805	14.8988
9.45355	-12.4895	-2.60571	1.12884	-0.77105	9.36086	-12.5501	9.35	-12.55	-1.99804	-1.99804	0
9.31989	-12.7244	-2.59796	1.03621	-0.789543	9.34456	-12.7106	9.3	-12.65	-0.909773	-1.81953	0.256975
9.31989	-12.7244	-2.59796	1.03621	-0.789543	9.22134	-12.7613	9.25	-12.75	-0.909773	-1.81954	0
9.03814	-12.9109	-2.58408	0.785796	-1.02441	9.15326	-13.0031	9.05	-12.85	-3.99257	-1.99629	28.7083
9.03814	-12.9109	-2.58408	0.785796	-1.02441	8.84161	-12.9519	8.85	-12.95	-3.99253	-1.99627	0
8.78675	-13.073	-2.59783	0.619933	-1.10454	8.71632	-12.9613	8.75	-13	-1.8213	-0.910651	3.04511
8.78675	-13.073	-2.59783	0.619933	-1.10454	8.66358	-13.0431	8.65	-13.05	-1.8213	-0.910651	0
8.51339	-13.1923	-2.61585	0.439441	-1.19701	8.54518	-13.1702	8.5	-13.1	-2.997	-0.999005	4.39964
8.51339	-13.1923	-2.61585	0.439441	-1.19701	8.35763	-13.1557	8.35	-13.15	-2.997	-0.998995	0
8.20547	-13.2479	-2.65087	0.225723	-1.32374	8.22926	-13.1698	8.2	-13.15	-2.72741	0	8.851
8.20547	-13.2479	-2.65087	0.225723	-1.32374	8.03583	-13.1513	8.05	-13.15	-2.72742	0	0
7.90903	-13.2684	-2.65142	0.0604977	-1.35202	7.82914	-13.0525	7.9	-13.15	-2.72986	0	0.693308
7.90903	-13.2684	-2.65142	0.0604977	-1.35202	7.76538	-13.1647	7.75	-13.15	-2.72986	0	0
7.68301	-13.3176	-2.56427	0.0102808	-1.22087	7.66146	-13.3079	7.6	-13.2	-2.9979	-0.999304	12.3813
7.68301	-13.3176	-2.56427	0.0102808	-1.22087	7.44786	-13.2517	7.45	-13.25	-2.9979	-0.999304	0
7.39743	-13.3028	-2.57755	-0.115079	-1.21349	7.21108	-13.0985	7.3	-13.25	-2.72846	0	0.534362
7.39743	-13.3028	-2.57755	-0.115079	-1.21349	7.16011	-13.2382	7.15	-13.25	-2.72844	0	0
7.08964	-13.2106	-2.64726	-0.293663	-1.28303	6.88472	-12.9588	7	-13.2	-2.99784	0.999284	5.31902
7.08964	-13.2106	-2.64726	-0.293663	-1.28303	6.84891	-13.1493	6.85	-13.15	-2.99784	0.999284	0
6.81542	-13.1362	-2.66443	-0.412765	-1.26356	6.77424	-13.2337	6.7	-13.1	-2.72787	0.909275	0.470193
